比,bi3 ,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio"
比较,bi3 jiao4,compare; contrast; fairly; comparatively; relatively; quite; rather
比例,bi3 li4,proportion; scale
比如,bi3 ru2,for example; for instance; such as
比赛,bi3 sai4,"competition (sports etc); match; CL:場|场[chang3],次[ci4]"
彼此,bi3 ci3,each other; one another
笔记本,bi3 ji4 ben3,notebook; CL:本[ben3]
毕竟,bi4 jing4,after all; all in all; when all is said and done; in the final analysis
毕业,bi4 ye4,graduation; to graduate; to finish school
避免,bi4 mian3,to avert; to prevent; to avoid; to refrain from
必然,bi4 ran2,inevitable; certain; necessity
必须,bi4 xu1,to have to; must; compulsory; necessarily
必需,bi4 xu1,to need; to require; essential; indispensable
必要,bi4 yao4,necessary; essential; indispensable; required
编辑,bian1 ji2,to edit; to compile; editor; compiler
鞭炮,bian1 pao4,firecrackers; a string of small firecrackers; CL:枚[mei2]
便,bian4,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards
遍,bian4,a time; everywhere; turn; all over; one time
变化,bian4 hua4,change; variation; to change; to vary; CL:個|个[ge4]
辩论,bian4 lun4,"debate; argument; to argue over; CL:場|场[chang3],次[ci4]"
标点,biao1 dian3,punctuation; a punctuation mark; to punctuate; CL:個|个[ge4]
标志,biao1 zhi4,sign; mark; symbol; symbolize; to indicate; to mark
标准,biao1 zhun3,(an official) standard; norm; criterion; CL:個|个[ge4]
表达,biao3 da2,to voice (an opinion); to express; to convey
表格,biao3 ge2,"form; table; CL:張|张[zhang1],份[fen4]"
表面,biao3 mian4,surface; face; outside; appearance
表明,biao3 ming2,to make clear; to make known; to state clearly; to indicate; known
表情,biao3 qing2,(facial) expression; to express one's feelings; expression
表示,biao3 shi4,to express; to show; to say; to state; to indicate; to mean
表现,biao3 xian4,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc)
