爱,ai4,to love; affection; to be fond of; to like
八,ba1,eight; 8
爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]"
杯子,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]"
北京,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government"
本,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally"
不,bu4,(negative prefix); not; no
不客气,bu4 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it
菜,cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]"
茶,cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]"
吃,chi1,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust
出租车,chu1 zu1 che1,taxi
打电话,da3 dian4 hua4,to make a telephone call
大,da4,big; huge; large; major; great; wide; deep; oldest; eldest
的,de5,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive"
点,dian3,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities
电脑,dian4 nao3,computer; CL:臺|台[tai2]
电视,dian4 shi4,"television; TV; CL:臺|台[tai2],個|个[ge4]"
电影,dian4 ying3,"movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"
东西,dong1 xi5,"thing; stuff; person; CL:個|个[ge4],件[jian4]"
都,dou1,"all, both; entirely (due to) each; even; already"
读,du2,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]"
对不起,dui4 bu5 qi3,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat)
多,duo1,many; much; a lot of; numerous; multi-
多少,duo1 shao3,number; amount; somewhat
儿子,er2 zi5,son
二,er4,two; 2; stupid (Beijing dialect)
饭馆,fan4 guan3,restaurant; CL:家[jia1]
飞机,fei1 ji1,airplane; CL: 架[jia4]
分钟,fen1 zhong1,minute
高兴,gao1 xing4,happy; glad; willing (to do sth); in a cheerful mood
个,ge4,individual; this; that; size; classifier for people or objects in general
工作,gong1 zuo4,"job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]"
狗,gou3,"dog; CL:隻|只[zhi1],條|条[tiao2]"
汉语,Han4 yu3,Chinese language; CL:門|门[men2]
好,hao3,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness)
喝,he1,to drink; to shout (a command); My goodness!
和,he2,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4
很,hen3,(adverb of degree); quite; very; awfully
后面,hou4 mian5,rear; back; behind; later; afterwards
回,hui2,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book)
会,hui4,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3)
火车站,huo3 che1 zhan4,train station
几,ji3,how much; how many; several; a few
家,jia1,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[ge4]"
叫,jiao4,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)
今天,jin1 tian1,today; at the present; now
九,jiu3,nine; 9
